Owner,Company,Email,$currency_symbol,$field_states,Last_Activity_Time,Industry,$state,Unsubscribed_Mode,$converted,$process_flow,Street,Zip_Code,id,$approved,$approval,Enrich_Status__s,Created_Time,$editable,City,No_of_Employees,State,Country,Created_By,$zia_owner_assignment,Annual_Revenue,Secondary_Email,Description,Rating,$review_process,Website,Twitter,Salutation,First_Name,Full_Name,Lead_Status,Record_Image,Modified_By,$review,Skype_ID,Phone,Email_Opt_Out,Designation,Modified_Time,$converted_detail,Unsubscribed_Time,Mobile,$orchestration,Last_Name,$in_merge,Lead_Source,Tag,Fax,$approval_state,$pathfinder,Last_Enriched_Time__s
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Rangoni Of Florence,christopher-maclead@gmail.com,€,,2023-02-25T18:04:06+01:00,Service Provider,save,,False,False,37275 St Rt 17m M,11953,549888000000347413,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Middle Island,,NY,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,850000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.rangoniofflorence.com,christophermaclead_sample,Mr.,Christopher,Mr. Christopher Maclead (Sample),Lost Lead,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd7187a6265f04c2d520aefaa2f8356ad40186dc53009f4212b509d11c50b4867f5b775ae1045254c6446196b9693babdeed00,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,christopher-maclead,555-555-5555,False,VP Accounting,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Maclead (Sample),False,Cold Call,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Oh My Goodknits Inc,carissa-kidman@yahoo.com,€,,2023-02-25T18:04:06+01:00,Data/Telecom OEM,save,,False,False,5 Boston Ave #88,57105,549888000000347412,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Sioux Falls,,SD,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,200000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.truhlarandtruhlarattys.com,carissakidman_sample,Ms.,Carissa,Ms. Carissa Kidman (Sample),Contact in Future,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd7187655732bb18394e93967b82781966dab879cefb3425bcc2090e07f2f1c0c3935d11899f3e38683d7beb1ae429975ac682,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,carissa-kidman,555-555-5555,False,Director of Sales,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Kidman (Sample),False,Advertisement,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Kwik Kopy Printing,james-merced@gmail.com,€,,2023-02-25T18:04:06+01:00,Large Enterprise,save,,False,False,7 W Jackson Blvd,95111,549888000000347411,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,San Jose,,CA,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,650000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.commercialpress.com,jamesmerced_sample,Mr.,James,Mr. James Merced (Sample),Lost Lead,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd7187513a28839ebd2a67d2e4ff85e2dbc09e2187c3d5f3696190554195297615fc845393eace8cb8191a6811ea5541db4147,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,james-merced,555-555-5555,False,Biostatistician I,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Merced (Sample),False,Web Download,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Morlong Associates,tresa-sweely@hotmail.com,€,,2023-02-25T18:04:06+01:00,Storage Equipment,save,,False,False,7 Eads St,60632,549888000000347410,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Chicago,,IL,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,190000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.morlongassociates.com,tresasweely_sample,Ms.,Tresa,Ms. Tresa Sweely (Sample),Contacted,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd7187fdd037267b571863c174a680a3f33ddc14b321e018c67616677b4f4ff7f4cc1baf7a88fdba56ee7e5d0a6ee4040dc0b4,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,tresa-sweely,555-555-5555,False,Executive Secretary,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Sweely (Sample),False,Seminar Partner,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Chapman,felix-hirpara@cox.net,€,,2023-02-25T18:04:06+01:00,Non-management ISV,save,,False,False,3 Mcauley Dr,44805,549888000000347409,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Ashland,,OH,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,230000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.chapmanrosseesq.com,felixhirpara_sample,Mr.,Felix,Mr. Felix Hirpara (Sample),Attempted to Contact,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd7187351f9167a99f5ba4db6f8448af965e9446da50aa0fc927198594bb31dd6f8169863306bd28325926488c3763570974c4,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,felix-hirpara,555-555-5555,False,Computer Systems Analyst I,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Hirpara (Sample),False,Online Store,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Printing Dimensions,kayleigh-lace@yahoo.com,€,,2023-02-25T18:04:06+01:00,Optical Networking,save,,False,False,34 Center St,45011,549888000000347408,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Hamilton,,OH,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,270000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.printingdimensions.com,kayleighlace_sample,Ms.,Kayleigh,Ms. Kayleigh Lace (Sample),Not Contacted,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd718729e9461352c47c2d9433ccbfaac752870f9f76edc55b373784dc01ef8c7e6ccee23b50530de31744f7ad1f609a95c4e4,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,kayleigh-lace,555-555-5555,False,Cost Accountant,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Lace (Sample),False,Partner,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Grayson,yvonne-tjepkema@hotmail.com,€,,2023-02-25T18:04:06+01:00,Government/Military,save,,False,False,639 Main St,99501,549888000000347407,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Anchorage,,AK,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,170000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.feltzprintingservice.com,yvonnetjepkema_sample,Ms.,Yvonne,Ms. Yvonne Tjepkema (Sample),Pre-Qualified,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd7187f3cf4d4264674c3584cb92ad97a1568f4ad096e288f70ff677d739ea62ee84d2803998271781e79bff04506d85533261,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,yvonne-tjepkema,555-555-5555,False,Office Assistant III,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Tjepkema (Sample),False,External Referral,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Buckley Miller & Wright,michael-gruta@cox.net,€,,2023-02-25T18:04:06+01:00,MSP (Management Service Provider),save,,False,False,98 Connecticut Ave Nw,44023,549888000000347406,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Chagrin Falls,,OH,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,850000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.buckleymillerwright.com,michaelgruta_sample,Mr.,Michael,Mr. Michael Ruta (Sample),Attempted to Contact,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd71876513a0211c847d3735dface033bb2902974ee77b04ac93b9f55f2a95e596796b85826a57b64a336e9ab2b1f8f5d61fea,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,michael-gruta,555-555-5555,False,Computer Systems Analyst II,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Ruta (Sample),False,Online Store,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Dal Tile Corporation,theola-frey@frey.com,€,,2023-02-25T18:04:06+01:00,Management ISV,save,,False,False,4 B Blue Ridge Blvd,48116,549888000000347405,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,Brighton,,MI,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,200000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.chanayjeffreyaesq.com,theolafrey_sample,Ms.,Theola,Ms. Theola Frey (Sample),Contact in Future,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd718770fa8c64db5ca6764aa312075e60645ba64c48cbc0465b40dbbff82207cc1ee3eaf6937ab4f30fbae54563024a60454d,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,theola-frey,555-555-5555,False,Mechanical Systems Engineer,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Frey (Sample),False,Cold Call,[],,approved,,
"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",Creative Business Systems,chau-kitzman@gmail.com,€,,2023-02-25T18:04:06+01:00,ERP,save,,False,False,6649 N Blue Gum St,70116,549888000000347404,True,"{'delegate': False, 'approve': False, 'reject': False, 'resubmit': False}",,2023-02-25T18:03:34+01:00,True,New Orleans,,LA,United States,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",owner_recommendation_unavailable,100000.0,,,,"{'approve': False, 'reject': False, 'resubmit': False}",http://www.bentonjohnbjr.com,chaukitzman_sample,Mr.,Chau,Mr. Chau Kitzman (Sample),Attempted to Contact,e36759c3f9cddba3c21a301aaa7e86f54614df7bceee38a14ca73c7b60fd718749641c3afa5ca6842d88254bb2731ccf745d7e83bc1f1bf9fa41e8c0c33da3838cd6d87687718f2c7ea0e97809c657d3,"{'name': 'mohamed habib boukrana', 'id': '549888000000339001', 'email': 'boukranahabib@gmail.com'}",,chau-kitzman,555-555-5555,False,Junior Executive,2023-02-25T18:04:06+01:00,{},,555-555-5555,False,Kitzman (Sample),False,Advertisement,[],,approved,,
